    -------<<  MADE IN LABORATORY EQUIPMENT CORPORATION  >>-------

                                                         Report,2020/07/17,16:57:41
MCA Data File,detectorA_Ra226 re.asc
Comment,
Date,2020/07/17,15:43:17
Live Time,4157,Real Time,4463,Preset time,99999999,Dead Time,0,(%),Mode,PHA
Spectrum Data,Start ch,0,End ch,4095
  chn  ,  data
1563,    4625
1564,    4682
1565,    4602
1566,    4792
1567,    4804
1568,    4694
1569,    4575
1570,    4692
1571,    4595
1572,    4622
1573,    4497
1574,    4800
1575,    4687
1576,    4600
1577,    4665
1578,    4656
1579,    4553
1580,    4497
1581,    4720
1582,    4597
1583,    4632
1584,    4648
1585,    4579
1586,    4681
1587,    4616
1588,    4700
1589,    4724
1590,    4651
1591,    4624
1592,    4582
1593,    4564
1594,    4690
1595,    4661
1596,    4650
1597,    4621
1598,    4582
1599,    4635
1600,    4563
1601,    4543
1602,    4615
1603,    4565
1604,    4599
1605,    4546
1606,    4485
1607,    4614
1608,    4666
1609,    4527
1610,    4485
1611,    4396
1612,    4550
1613,    4631
1614,    4500
1615,    4568
1616,    4536
1617,    4585
1618,    4520
1619,    4715
1620,    4504
1621,    4495
1622,    4556
1623,    4461
1624,    4399
1625,    4491
1626,    4478
1627,    4491
1628,    4391
1629,    4442
1630,    4511
1631,    4280
1632,    4460
1633,    4478
1634,    4473
1635,    4411
1636,    4387
1637,    4465
1638,    4426
1639,    4402
1640,    4442
1641,    4334
1642,    4360
1643,    4363
1644,    4322
1645,    4412
1646,    4384
1647,    4317
1648,    4325
1649,    4249
1650,    4191
1651,    4309
1652,    4207
1653,    4181
1654,    4204
1655,    4278
1656,    4345
1657,    4192
1658,    4176
1659,    4151
1660,    4059
1661,    4303
1662,    4114
1663,    4125
1664,    4167
1665,    3998
1666,    4108
1667,    4060
1668,    4041
1669,    4055
1670,    3995
1671,    4008
1672,    4104
1673,    4061
1674,    4007
1675,    4054
1676,    3963
1677,    3922
1678,    3954
1679,    3973
1680,    3949
1681,    3917
1682,    3866
1683,    3985
1684,    3884
1685,    3930
1686,    3842
1687,    3867
1688,    3894
1689,    3925
1690,    3939
1691,    3888
1692,    3931
1693,    3869
1694,    3892
1695,    3860
1696,    3896
1697,    3975
1698,    3962
1699,    3922
1700,    3855
1701,    3958
1702,    4104
1703,    4188
1704,    4437
1705,    4809
1706,    5450
1707,    6428
1708,    7880
1709,    9258
1710,   10936
1711,   12339
1712,   13392
1713,   13583
1714,   12729
1715,   11056
1716,    9388
1717,    7809
1718,    6348
1719,    5330
1720,    4613
1721,    4214
1722,    3996
1723,    3923
1724,    3902
1725,    3773
1726,    3710
1727,    3697
1728,    3656
1729,    3763
1730,    3651
1731,    3710
1732,    3671
1733,    3639
1734,    3605
1735,    3723
1736,    3763
1737,    3586
1738,    3550
1739,    3685
1740,    3694
1741,    3575
1742,    3618
1743,    3506
1744,    3585
1745,    3469
1746,    3594
1747,    3531
1748,    3477
1749,    3629
1750,    3483
1751,    3472
1752,    3524
1753,    3486
1754,    3442
1755,    3548
1756,    3481
1757,    3542
1758,    3443
1759,    3484
1760,    3509
1761,    3500
1762,    3495
1763,    3465
1764,    3403
1765,    3363
1766,    3474
1767,    3455
1768,    3554
1769,    3375
1770,    3406
1771,    3366
1772,    3410
1773,    3531
1774,    3413
1775,    3378
1776,    3268
1777,    3444
1778,    3404
1779,    3502
1780,    3373
1781,    3390
1782,    3404
1783,    3433
1784,    3420
1785,    3371
1786,    3378
1787,    3439
1788,    3390
1789,    3426
1790,    3484
1791,    3334
1792,    3366
1793,    3282
1794,    3361
1795,    3289
1796,    3348
1797,    3319
1798,    3309
1799,    3275
1800,    3368
1801,    3252
1802,    3387
1803,    3310
1804,    3452
1805,    3268
1806,    3325
1807,    3378
1808,    3384
1809,    3264
1810,    3280
1811,    3341
1812,    3280
1813,    3264
1814,    3258
1815,    3308
1816,    3303
1817,    3283
1818,    3260
1819,    3222
